Individual_number;Individual.ID;Place;age;sex;Species;clade;population;ear.length;ear.width;head.length;head.width;interorbital.dist;intraorbital.dist;snout.length;lower.leg.length;hind.foot.length;third.toe.length;body.length;tail.length;body.mass;observer;male_repro;female_repro;pregnant_body.mass;comment;comment2;latitude;longitude;altitude;date;ear.marking;RADSeq.available
71;BC73_2017;Montagne_d_Ambre;adult;M;arnholdi;7;arno;18,07;10,67;33,49;20,62;18,51;6,06;8,1;36,15;21,15;#NV;63;120;#NV;BLP;enlarged;NA;NA;grey-brown head, grey-broiwn-red face, yellowish belly, silver-grey-brown back, dorsal stripe;well developped testis;-12.51069976;49.19489007;886;42896;AC23;NA
72;BG44_2017;Montagne_d_Ambre;adult;M;arnholdi;7;arno;17,58;12,78;32,44;19,88;21,7;7,08;7,19;36,23;20,37;#NV;82;143;43;TNR;enlarged;NA;NA;grey-brown-red head, grey-brown-red face, yellowish belly, grey-brown back, dorsal stripe;well developped testis;-12.71852612;49.139166179999997;751;42973;AC23;NA
73;BH13_2017;Montagne_d_Ambre;adult;F;arnholdi;7;arno;19,25;12,82;35,63;20,39;20,21;7,81;7,5;37,31;20,14;#NV;82;139;43;FJR;NA;NA;NA;grey-brown head, grey-brown face, yellowish belly, grey-brown back, dorsal stripe;NA;-12.74432494;49.13739726;561;42977;AC24;NA
74;BH12_2017;Montagne_d_Ambre;adult;M;arnholdi;7;arno;22,7;13,38;33,59;#NV;21,92;7,61;7,14;41,77;23,02;#NV;86;153;43;TNR;enlarged;NA;NA;grey-brown head, grey-brown face, yellowish belly, grey-brown back, dorsal stripe;well developped testis;-12.740457279999999;49.139825829999999;615;42977;BD24;NA
75;BH11_2017;Montagne_d_Ambre;adult;M;arnholdi;7;arno;#NV;14,67;34,92;18,69;20,34;7,92;7,31;39,43;22,34;#NV;81;150;44;TNR;enlarged;NA;NA;grey-brown head, grey-brown face, yellowish belly, grey-brown back, dorsal stripe;well developped testis;-12.739135040000001;49.138695030000001;615;42977;AC24;NA
76;BG76_2017;Montagne_d_Ambre;adult;M;arnholdi;7;arno;17,28;12,15;33,71;19,91;21,99;7,11;7,4;39,51;21,03;#NV;85;149;51;TNR;enlarged;NA;NA;grey-brown-red head, grey-brown face, yellowish belly, grey-brown-red back, dorsal line;well developped testis;-12.70438073;49.141025200000001;903;42975;BC23;RADSEQ
94;064413AC;Kirindy;adult;M;berthae;5;bert;#NV;#NV;30,7;18,4;#NV;#NV;#NV;#NV;#NV;#NV;74;137;25;MD;NA;NA;NA;NA;NA;-20.0459779799999;44.54847427;NA;38944;NA;NA
95;061814D8;Kirindy;adult;M;berthae;5;bert;#NV;#NV;29,5;19,7;#NV;#NV;#NV;#NV;#NV;#NV;80;135;30;MD;NA;NA;NA;NA;NA;-20.0459779799999;44.54847427;NA;39306;NA;NA
96;064E3C93;Kirindy;adult;F;berthae;5;bert;#NV;#NV;31,9;19,9;#NV;#NV;#NV;#NV;#NV;#NV;91;125;33;MD;NA;NA;NA;NA;NA;-20.0459779799999;44.54847427;NA;39305;NA;NA
97;064E31B6;Kirindy;adult;M;berthae;5;bert;#NV;#NV;31,1;21,1;#NV;#NV;#NV;#NV;#NV;#NV;79;146;34;MD;NA;NA;NA;NA;NA;-20.0459779799999;44.54847427;NA;39307;NA;NA
