Species	Name	R11	G11	B11	R12	G12	B12	R13	G13	B13	R14	G14	B14	R15	G15	B15	R16	G16	B16
9213	sb	155.78	75.72	17.81	202.83	122.27	7.54	210.74	145.97	24.44	160.86	90.25	17.41	177.89	131.93	82.62	141.14	97.95	57.11
9216	sb	180.67	102.58	34.61	227.58	169.4	72.22	230.22	167.29	54.13	180.31	110.86	40.32	204.69	151.78	93.57	159.35	109.71	66.73
9217	sb	174.69	78.01	9.53	214.8	143.78	40.24	221.81	157.41	54.81	187.11	116.48	38.29	192.45	149.65	101.88	155.69	112.91	71.33
9218	sb	168.39	77.44	15.18	213.35	136.02	21.47	221.79	160.11	53.43	178.36	107.47	38.77	185.41	136.18	83.99	147.07	103.95	63.57
9219	sb	191.5	87.83	8.6	222.83	148.48	33.5	232.71	168.08	54.7	169.21	88.85	20.6	201.09	150.19	98.52	163.17	116.12	73.59
9220	sb	205.09	129.83	48.85	233.03	172.83	70.53	235.95	194.15	119.72	207.76	141.7	58.14	208.97	165.65	112.65	183.11	137.88	88.37
9221	sb	169.81	91.9	17.06	213.3	142.94	21.5	207.79	141.39	26.4	152.3	90.33	16.4	155.64	106.8	61.35	116.08	77.93	46.36
9223	sb	167.96	82.5	17	196.88	112.18	6.1	195.8	113.81	3.47	136.46	63.7	15.5	166.45	114.38	66.92	124.84	79.29	45.62
9224	sb	126.86	51.19	16.37	195.56	105.82	2.6	198.32	115.51	3.38	133.25	67.08	11.7	137.29	91.94	59.51	104.6	66.59	41.18
9226	sb	126.28	49.46	14.75	202.18	123.93	17.86	213.43	144.82	24.51	153.3	72.58	20.6	165.41	119.2	73.84	118.3	78.11	46.22
9227	sb	165.85	71.06	13.47	208.46	114.42	5.98	223.78	148.83	27.98	149.91	82.24	16.25	175.32	125.5	76.59	141.42	98.32	58.76
9228	sb	154.55	72.53	18.91	197.82	113.95	1.28	200.9	128.23	10.38	155.14	88.41	23.34	161.14	117.33	75.52	119.76	82.99	52.01
9229	sb	133.74	49.54	18.12	216.31	139.17	30.08	212.94	139.26	23.4	147.4	73.29	14.19	139.92	91.5	54.55	107.59	67.44	40.12
9230	sb	152.97	63.41	8.43	204.69	114.06	5.83	210.57	130.01	12.46	160.87	94.42	26.15	164.59	113.4	65.21	125.85	84.48	48.89
9232	sb	140.53	60.16	16.09	201.44	122.88	6.86	202.52	138.07	24.12	141.51	83.06	22.11	140.49	97.29	60.9	99.47	67.44	43.34
9233	sb	144	60.59	12.32	205.97	119.14	7.52	206.71	127.5	5.73	152.91	90.09	26.96	172.32	128.56	80.91	120.09	84.06	50.91
9234	sb	125.74	51.85	19.24	210.76	143.54	44.74	207.22	138.33	26.66	133.6	71.11	16.12	158.49	110.66	70.14	115.66	78.2	47.87
9235	sb	137.21	67.12	20.13	196.14	113.56	9.47	207.02	133.57	15.44	111.22	57.61	18.72	139.2	95.27	59.6	95.33	62.7	39.68
9236	sb	138.95	63.76	21.39	210.41	136.63	24.19	215.1	145.47	33.01	151.62	83.46	16.74	176.51	127.76	79.73	136.34	93.87	57.76
9237	sb	147.24	60.35	13.66	203.03	115.87	7.02	216.53	142.31	20.67	168.3	98.26	23.74	159.97	107.8	56.46	118.07	76.3	41.41
9240	sb	144.6	62.15	12.36	196.84	103.55	4.87	204.38	131.46	32.61	146.47	74.3	14.79	144.18	99.12	61.48	103.94	72.11	46.43
9241	sb	107.17	39.48	19.03	193.22	110.58	8.7	196.75	120.84	12.03	136.74	69.88	12.86	152.54	103.88	62.7	110.06	72.61	45.24
9242	sb	116.25	42.64	13.24	194.69	106.35	9.04	196.95	123.26	23.11	128.14	63.83	17.1	133.76	91.14	56.31	96.57	64.39	38.93
9243	sb	168.46	71.92	7.02	202.07	116.2	3.15	198.93	124.85	10.17	136.07	73.58	14.18	157.38	111.74	68.28	115.67	77.42	46.47
9244	sb	149.79	84	36.07	194.03	109.43	8.91	206.39	134.61	16.94	143.38	81.3	25.42	156.18	107.97	63.69	116.4	74.89	43.55
9245	sb	159.56	70.09	6.66	194.16	107.26	2.76	196.25	123.35	10.12	152.66	81.53	15.43	174.68	126.44	78.2	134.38	93.54	55.84
9246	sb	154.84	67.08	11	207.31	142.75	52.95	205.61	143.76	54.11	178.52	95.85	15.28	159.45	109.14	64.93	131.08	90.62	55.72
9248	sb	111.17	34.31	15.85	185.17	90.56	3.64	189.7	108.99	5.15	154.39	80.59	18.98	138.7	92.75	54.88	94.67	63.39	39.43
9249	sb	178.62	96.18	33.3	221.56	144.39	29.31	222.09	150.31	36.95	196.22	123.77	39.1	176.14	125.88	77.87	143.05	99.92	62.27
9272	sb	107.8	38.5	13.34	219.06	134.19	21.22	227.91	152.01	35.86	134.58	77.2	20.76	167.07	119.86	81.35	117.92	82.39	54.91
8358	ss	135.5	47.83	8.5	194.72	101.48	1.34	207.76	127.62	3.83	164.13	78.31	9.17	140.36	90.09	48.17	120.44	74.51	41.67
8375	ss	163.82	65.59	6.71	202	98.8	1.88	208.25	121.91	13.28	146.22	66.02	13.92	141.76	90.03	48.43	124.36	75.58	41.16
8385	ss	74.52	41.06	27.41	159.7	88.68	6.77	169.4	103.88	10.76	91.44	45.34	19.07	97.12	69.06	48.99	81.49	57.96	41.97
